Player,Pk,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Bench,Agility,Sprint,Rk,Year,Tm,Age,Pos,Born,College,From,To,G,MPG,PPG,RPG,APG,SPG,BPG,FG%,2P%,3P%,FT%,WS,WS/48
Blake Griffin,1.0,80.5,82.0,83.25,105.0,35.5,140.5,32.0,137.0,248.0,8.2,,,22.0,10.95,3.28,19,2009,LAC,20.105999999999998,F,us,Oklahoma,2011.0,2019.0,604.0,35.0,21.9,9.0,4.5,0.9,0.5,0.502,0.522,0.342,0.6920000000000001,75.3,0.171
Terrence Williams,11.0,77.0,78.25,81.0,103.5,37.0,140.5,30.5,134.0,213.0,5.1,,,9.0,11.15,3.18,464,2009,NJN,22.003,F,us,Louisville,2010.0,2013.0,153.0,19.1,7.1,3.6,2.4,0.5,0.1,0.41200000000000003,0.43200000000000005,0.317,0.659,-0.2,-0.004
Gerald Henderson,12.0,76.0,77.0,82.25,102.5,35.0,137.5,31.5,134.0,215.0,4.4,,,8.0,11.17,3.14,258,2009,CHA,21.204,G,us,Duke,2010.0,2017.0,535.0,25.9,11.2,3.2,1.9,0.7,0.3,0.44,0.46,0.327,0.7929999999999999,18.3,0.063
Tyler Hansbrough,13.0,80.25,81.5,83.5,106.0,34.0,140.0,27.5,133.5,234.0,8.5,,,18.0,11.12,3.27,58,2009,IND,23.24,F,us,UNC,2010.0,2016.0,428.0,16.9,6.7,4.2,0.4,0.5,0.2,0.439,0.442,0.136,0.738,20.2,0.134
Earl Clark,14.0,80.5,82.25,86.5,109.5,33.0,142.5,28.5,138.0,228.0,5.2,,,5.0,11.17,3.35,329,2009,PHO,21.165,F,us,Louisville,2010.0,2015.0,261.0,13.9,4.4,3.0,0.5,0.3,0.5,0.40299999999999997,0.424,0.32799999999999996,0.664,2.9,0.038
Austin Daye,15.0,81.75,82.75,86.75,110.0,28.0,138.0,25.0,135.0,192.0,5.5,,,,12.11,3.55,287,2009,DET,21.025,F,us,Gonzaga,2010.0,2015.0,293.0,14.1,5.2,2.6,0.7,0.4,0.4,0.402,0.433,0.35100000000000003,0.778,4.5,0.053
James Johnson,16.0,79.0,79.75,84.75,105.5,35.0,140.5,30.5,136.0,257.0,12.0,,,18.0,11.21,3.23,154,2009,CHI,22.131,F,us,Wake Forest,2010.0,2020.0,603.0,20.7,8.0,3.6,2.1,0.8,0.9,0.47700000000000004,0.532,0.305,0.695,23.6,0.091
Jrue Holiday,17.0,75.25,76.25,79.0,100.5,34.0,134.5,28.5,129.0,199.0,6.3,,,6.0,10.64,3.21,174,2009,PHI,19.018,G,us,UCLA,2010.0,2020.0,656.0,33.1,15.6,3.8,6.4,1.5,0.5,0.452,0.486,0.355,0.784,39.1,0.086
Ty Lawson,18.0,71.25,72.5,72.75,94.5,36.5,131.0,29.0,123.5,197.0,6.6,,,14.0,10.98,3.12,73,2009,MIN,21.24,G,us,UNC,2010.0,2017.0,551.0,29.2,12.7,2.7,6.0,1.2,0.1,0.46,0.493,0.359,0.77,42.1,0.126
Jeff Teague,19.0,72.25,73.5,79.5,98.5,36.5,135.0,30.5,129.0,175.0,4.5,,,13.0,11.05,3.18,85,2009,ATL,21.02,G,us,Wake Forest,2010.0,2020.0,717.0,27.7,12.7,2.5,5.8,1.2,0.3,0.446,0.475,0.355,0.8420000000000001,48.9,0.11800000000000001
Hasheem Thabeet,2.0,85.25,86.5,90.25,113.0,,,,,267.0,6.7,,,,,,139,2009,MEM,22.135,C,tz,UConn,2010.0,2014.0,224.0,10.5,2.2,2.7,0.1,0.3,0.8,0.5670000000000001,0.5670000000000001,,0.578,4.8,0.099
Eric Maynor,20.0,74.25,75.25,74.5,97.0,31.5,128.5,28.5,125.5,164.0,5.4,,,8.0,10.78,3.19,323,2009,UTA,22.02,G,us,Virginia Commonwealth,2010.0,2014.0,267.0,14.6,4.3,1.3,2.8,0.4,0.1,0.392,0.409,0.35,0.721,3.3,0.040999999999999995
Darren Collison,21.0,72.25,73.5,75.0,96.5,33.5,130.0,30.5,127.0,166.0,5.7,,,9.0,10.45,3.1,93,2009,NOH,21.311999999999998,G,us,UCLA,2010.0,2019.0,708.0,29.4,12.5,2.7,5.0,1.2,0.1,0.47100000000000003,0.495,0.39399999999999996,0.853,49.9,0.115
Omri Casspi,23.0,79.75,81.25,81.25,106.5,32.5,139.0,25.5,132.0,211.0,8.6,,,2.0,11.15,3.28,213,2009,SAC,21.008000000000003,F,il,,2010.0,2019.0,588.0,20.3,7.9,4.0,1.1,0.6,0.2,0.45399999999999996,0.502,0.368,0.6779999999999999,19.6,0.078
Byron Mullens,24.0,83.75,85.25,85.5,111.0,32.5,143.5,28.5,139.5,258.0,8.5,,,10.0,11.1,3.45,390,2009,DAL,20.136,C,us,Ohio State,2010.0,2014.0,189.0,18.2,7.4,4.2,0.8,0.4,0.5,0.408,0.43799999999999994,0.319,0.706,0.6,0.008
Damion James,24.0,78.25,79.5,84.75,106.0,37.0,143.0,30.0,136.0,224.0,8.2,9.25,8.5,14.0,11.23,3.09,466,2010,ATL,22.266,G-F,us,Texas,2011.0,2014.0,39.0,16.0,3.8,3.4,0.7,0.6,0.5,0.415,0.433,0.0,0.667,0.0,-0.001
Rodrigue Beaubois,25.0,73.25,74.25,81.75,100.0,39.0,139.0,29.5,129.5,182.0,7.9,,,3.0,10.49,3.15,206,2009,OKC,21.127,G,gp,,2010.0,2013.0,182.0,15.9,7.1,1.9,2.1,0.7,0.3,0.439,0.5,0.325,0.81,4.8,0.079
Taj Gibson,26.0,80.5,81.75,88.0,109.0,30.0,139.0,25.5,134.5,214.0,6.6,,,12.0,11.56,3.41,75,2009,CHI,24.006999999999998,F,us,USC,2010.0,2020.0,742.0,25.8,9.8,6.4,1.0,0.6,1.1,0.511,0.517,0.20600000000000002,0.7090000000000001,49.7,0.125
DeMarre Carroll,27.0,78.25,79.75,82.0,105.0,,,,,207.0,6.3,,,,,,122,2009,MEM,22.339000000000002,F,us,Missouri,2010.0,2020.0,556.0,24.1,9.1,4.3,1.3,0.9,0.3,0.43,0.485,0.36,0.743,29.3,0.105
Wayne Ellington,28.0,76.25,77.25,78.5,100.0,38.0,138.0,31.5,131.5,202.0,5.5,,,13.0,11.14,3.2,265,2009,MIN,21.214000000000002,G,us,UNC,2010.0,2020.0,651.0,21.3,8.2,2.2,1.1,0.6,0.1,0.41,0.447,0.37799999999999995,0.845,17.7,0.061
Toney Douglas,29.0,73.0,74.0,78.0,97.5,32.5,130.0,28.0,125.5,183.0,5.2,,,15.0,10.63,3.03,219,2009,LAL,23.107,G,us,Florida State,2010.0,2017.0,394.0,19.1,7.6,2.2,2.3,0.9,0.1,0.40399999999999997,0.44799999999999995,0.354,0.8240000000000001,12.1,0.077
James Harden,3.0,76.0,77.25,82.75,103.5,37.0,140.5,31.5,135.0,222.0,10.1,,,17.0,11.1,3.13,2,2009,OKC,19.308,G,us,Arizona State,2010.0,2020.0,771.0,34.1,24.4,5.2,6.2,1.5,0.5,0.442,0.507,0.363,0.8590000000000001,122.5,0.223
Jermaine Taylor,32.0,75.5,76.75,80.75,101.0,37.5,138.5,34.0,135.0,207.0,5.8,,,16.0,11.54,3.32,382,2009,WAS,22.205,G,us,Central Florida,2010.0,2011.0,65.0,12.1,5.4,1.7,0.7,0.4,0.1,0.441,0.484,0.284,0.73,0.2,0.013999999999999999
Dante Cunningham,33.0,79.0,80.25,83.0,106.5,35.0,141.5,28.0,134.5,227.0,4.8,,,18.0,11.18,3.26,204,2009,POR,22.07,F,us,Villanova,2010.0,2019.0,715.0,20.8,5.8,3.7,0.7,0.6,0.5,0.469,0.494,0.345,0.649,24.9,0.08
DaJuan Summers,35.0,79.25,80.5,84.75,106.5,34.5,141.0,29.5,136.0,243.0,6.6,,,15.0,10.94,3.17,457,2009,DET,21.158,F,us,Georgetown,2010.0,2013.0,83.0,9.9,3.3,1.0,0.3,0.2,0.1,0.384,0.392,0.36700000000000005,0.642,-0.1,-0.008
Sam Young,36.0,77.25,78.75,82.75,105.5,33.0,138.5,27.5,133.0,223.0,4.9,,,,11.47,3.45,259,2009,MEM,24.03,F,us,Pitt,2010.0,2013.0,249.0,15.9,5.8,2.3,0.7,0.5,0.2,0.442,0.46799999999999997,0.28,0.742,5.2,0.063
DeJuan Blair,37.0,77.25,78.5,86.0,106.5,33.0,139.5,26.0,132.5,277.0,12.0,,,18.0,11.5,3.45,65,2009,SAS,20.069000000000003,F-C,us,Pitt,2010.0,2016.0,424.0,16.6,6.8,5.1,0.8,0.7,0.3,0.524,0.526,0.0,0.608,19.0,0.129
Tyreke Evans,4.0,76.0,77.25,83.25,104.0,34.0,138.0,28.5,132.5,221.0,7.1,,,7.0,11.81,3.17,225,2009,SAC,19.284000000000002,G-F,us,Memphis,2010.0,2019.0,594.0,30.7,15.7,4.6,4.8,1.2,0.4,0.44,0.46799999999999997,0.32299999999999995,0.757,28.4,0.075
Derrick Brown,40.0,79.5,80.5,86.5,107.5,35.5,143.0,30.5,138.0,225.0,8.6,,,20.0,11.26,3.13,181,2009,CHA,21.296,F,us,Xavier,2010.0,2012.0,171.0,14.9,5.2,2.4,0.7,0.5,0.2,0.515,0.528,0.317,0.637,4.5,0.085
Jodie Meeks,41.0,75.0,76.0,76.5,98.0,37.0,135.0,28.5,126.5,211.0,8.0,,,14.0,10.96,3.1,144,2009,MIL,21.314,G,us,Kentucky,2010.0,2019.0,539.0,22.5,9.3,2.1,1.1,0.8,0.1,0.42,0.47100000000000003,0.373,0.879,24.3,0.096
Marcus Thornton,43.0,74.75,75.75,77.0,99.0,33.0,132.0,31.0,130.0,194.0,4.8,,,14.0,10.73,3.28,182,2009,MIA,22.026,G,us,LSU,2010.0,2017.0,483.0,23.4,11.9,2.8,1.4,0.8,0.1,0.425,0.47100000000000003,0.358,0.83,20.0,0.085
