X1,Player,Year.x,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Bench,Agility,Sprint,Rk,Year.y,Lg,Rd,Pk,Tm,Age,Pos,Born,College,From,To,G,MPG,PPG,RPG,APG,SPG,BPG,FG%,2P%,3P%,FT%,WS,WS/48
0,Blake Griffin,2009,1,80.5,82,83.25,105,35.5,140.5,32,137,248,8.2,NA,NA,22,10.95,3.28,19,2009,NBA,1,1,LAC,20.106,F,us,Oklahoma,2011,2019,604,35,21.9,9,4.5,0.9,0.5,0.502,0.522,0.342,0.692,75.3,0.171
1,Terrence Williams,2009,11,77,78.25,81,103.5,37,140.5,30.5,134,213,5.1,NA,NA,9,11.15,3.18,464,2009,NBA,1,11,NJN,22.003,F,us,Louisville,2010,2013,153,19.1,7.1,3.6,2.4,0.5,0.1,0.412,0.432,0.317,0.659,-0.2,-0.004
2,Gerald Henderson,2009,12,76,77,82.25,102.5,35,137.5,31.5,134,215,4.4,NA,NA,8,11.17,3.14,258,2009,NBA,1,12,CHA,21.204,G,us,Duke,2010,2017,535,25.9,11.2,3.2,1.9,0.7,0.3,0.44,0.46,0.327,0.793,18.3,0.063
3,Tyler Hansbrough,2009,13,80.25,81.5,83.5,106,34,140,27.5,133.5,234,8.5,NA,NA,18,11.12,3.27,58,2009,NBA,1,13,IND,23.24,F,us,UNC,2010,2016,428,16.9,6.7,4.2,0.4,0.5,0.2,0.439,0.442,0.136,0.738,20.2,0.134
4,Earl Clark,2009,14,80.5,82.25,86.5,109.5,33,142.5,28.5,138,228,5.2,NA,NA,5,11.17,3.35,329,2009,NBA,1,14,PHO,21.165,F,us,Louisville,2010,2015,261,13.9,4.4,3,0.5,0.3,0.5,0.403,0.424,0.328,0.664,2.9,0.038
5,Austin Daye,2009,15,81.75,82.75,86.75,110,28,138,25,135,192,5.5,NA,NA,NA,12.11,3.55,287,2009,NBA,1,15,DET,21.025,F,us,Gonzaga,2010,2015,293,14.1,5.2,2.6,0.7,0.4,0.4,0.402,0.433,0.351,0.778,4.5,0.053
6,James Johnson,2009,16,79,79.75,84.75,105.5,35,140.5,30.5,136,257,12,NA,NA,18,11.21,3.23,154,2009,NBA,1,16,CHI,22.131,F,us,Wake Forest,2010,2020,603,20.7,8,3.6,2.1,0.8,0.9,0.477,0.532,0.305,0.695,23.6,0.091
7,Jrue Holiday,2009,17,75.25,76.25,79,100.5,34,134.5,28.5,129,199,6.3,NA,NA,6,10.64,3.21,174,2009,NBA,1,17,PHI,19.018,G,us,UCLA,2010,2020,656,33.1,15.6,3.8,6.4,1.5,0.5,0.452,0.486,0.355,0.784,39.1,0.086
8,Ty Lawson,2009,18,71.25,72.5,72.75,94.5,36.5,131,29,123.5,197,6.6,NA,NA,14,10.98,3.12,73,2009,NBA,1,18,MIN,21.24,G,us,UNC,2010,2017,551,29.2,12.7,2.7,6,1.2,0.1,0.46,0.493,0.359,0.77,42.1,0.126
9,Jeff Teague,2009,19,72.25,73.5,79.5,98.5,36.5,135,30.5,129,175,4.5,NA,NA,13,11.05,3.18,85,2009,NBA,1,19,ATL,21.02,G,us,Wake Forest,2010,2020,717,27.7,12.7,2.5,5.8,1.2,0.3,0.446,0.475,0.355,0.842,48.9,0.118
10,Hasheem Thabeet,2009,2,85.25,86.5,90.25,113,NA,NA,NA,NA,267,6.7,NA,NA,NA,NA,NA,139,2009,NBA,1,2,MEM,22.135,C,tz,UConn,2010,2014,224,10.5,2.2,2.7,0.1,0.3,0.8,0.567,0.567,NA,0.578,4.8,0.099
11,Eric Maynor,2009,20,74.25,75.25,74.5,97,31.5,128.5,28.5,125.5,164,5.4,NA,NA,8,10.78,3.19,323,2009,NBA,1,20,UTA,22.02,G,us,Virginia Commonwealth,2010,2014,267,14.6,4.3,1.3,2.8,0.4,0.1,0.392,0.409,0.35,0.721,3.3,0.041
12,Darren Collison,2009,21,72.25,73.5,75,96.5,33.5,130,30.5,127,166,5.7,NA,NA,9,10.45,3.1,93,2009,NBA,1,21,NOH,21.312,G,us,UCLA,2010,2019,708,29.4,12.5,2.7,5,1.2,0.1,0.471,0.495,0.394,0.853,49.9,0.115
13,Omri Casspi,2009,23,79.75,81.25,81.25,106.5,32.5,139,25.5,132,211,8.6,NA,NA,2,11.15,3.28,213,2009,NBA,1,23,SAC,21.008,F,il,NA,2010,2019,588,20.3,7.9,4,1.1,0.6,0.2,0.454,0.502,0.368,0.678,19.6,0.078
14,Byron Mullens,2009,24,83.75,85.25,85.5,111,32.5,143.5,28.5,139.5,258,8.5,NA,NA,10,11.1,3.45,390,2009,NBA,1,24,DAL,20.136,C,us,Ohio State,2010,2014,189,18.2,7.4,4.2,0.8,0.4,0.5,0.408,0.438,0.319,0.706,0.6,0.008
15,Damion James,2009,24,78.25,79.5,84.75,106,37,143,30,136,224,8.2,9.25,8.5,14,11.23,3.09,466,2010,NBA,1,24,ATL,22.266,G-F,us,Texas,2011,2014,39,16,3.8,3.4,0.7,0.6,0.5,0.415,0.433,0,0.667,0,-0.001
16,Rodrigue Beaubois,2009,25,73.25,74.25,81.75,100,39,139,29.5,129.5,182,7.9,NA,NA,3,10.49,3.15,206,2009,NBA,1,25,OKC,21.127,G,gp,NA,2010,2013,182,15.9,7.1,1.9,2.1,0.7,0.3,0.439,0.5,0.325,0.81,4.8,0.079
17,Taj Gibson,2009,26,80.5,81.75,88,109,30,139,25.5,134.5,214,6.6,NA,NA,12,11.56,3.41,75,2009,NBA,1,26,CHI,24.007,F,us,USC,2010,2020,742,25.8,9.8,6.4,1,0.6,1.1,0.511,0.517,0.206,0.709,49.7,0.125
18,DeMarre Carroll,2009,27,78.25,79.75,82,105,NA,NA,NA,NA,207,6.3,NA,NA,NA,NA,NA,122,2009,NBA,1,27,MEM,22.339,F,us,Missouri,2010,2020,556,24.1,9.1,4.3,1.3,0.9,0.3,0.43,0.485,0.36,0.743,29.3,0.105
20,Wayne Ellington,2009,28,76.25,77.25,78.5,100,38,138,31.5,131.5,202,5.5,NA,NA,13,11.14,3.2,265,2009,NBA,1,28,MIN,21.214,G,us,UNC,2010,2020,651,21.3,8.2,2.2,1.1,0.6,0.1,0.41,0.447,0.378,0.845,17.7,0.061
21,Toney Douglas,2009,29,73,74,78,97.5,32.5,130,28,125.5,183,5.2,NA,NA,15,10.63,3.03,219,2009,NBA,1,29,LAL,23.107,G,us,Florida State,2010,2017,394,19.1,7.6,2.2,2.3,0.9,0.1,0.404,0.448,0.354,0.824,12.1,0.077
22,James Harden,2009,3,76,77.25,82.75,103.5,37,140.5,31.5,135,222,10.1,NA,NA,17,11.1,3.13,2,2009,NBA,1,3,OKC,19.308,G,us,Arizona State,2010,2020,771,34.1,24.4,5.2,6.2,1.5,0.5,0.442,0.507,0.363,0.859,122.5,0.223
24,Jermaine Taylor,2009,32,75.5,76.75,80.75,101,37.5,138.5,34,135,207,5.8,NA,NA,16,11.54,3.32,382,2009,NBA,2,32,WAS,22.205,G,us,Central Florida,2010,2011,65,12.1,5.4,1.7,0.7,0.4,0.1,0.441,0.484,0.284,0.73,0.2,0.014
25,Dante Cunningham,2009,33,79,80.25,83,106.5,35,141.5,28,134.5,227,4.8,NA,NA,18,11.18,3.26,204,2009,NBA,2,33,POR,22.07,F,us,Villanova,2010,2019,715,20.8,5.8,3.7,0.7,0.6,0.5,0.469,0.494,0.345,0.649,24.9,0.08
26,DaJuan Summers,2009,35,79.25,80.5,84.75,106.5,34.5,141,29.5,136,243,6.6,NA,NA,15,10.94,3.17,457,2009,NBA,2,35,DET,21.158,F,us,Georgetown,2010,2013,83,9.9,3.3,1,0.3,0.2,0.1,0.384,0.392,0.367,0.642,-0.1,-0.008
27,Sam Young,2009,36,77.25,78.75,82.75,105.5,33,138.5,27.5,133,223,4.9,NA,NA,NA,11.47,3.45,259,2009,NBA,2,36,MEM,24.03,F,us,Pitt,2010,2013,249,15.9,5.8,2.3,0.7,0.5,0.2,0.442,0.468,0.28,0.742,5.2,0.063
