Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MPG,PPG,RPG,APG,SPG,BPG,FG%,2P%,3P%,FT%,WS,WS/48
1,2014,NBA,2,51,NYK,Thanasis Antetokounmpo\antetth01,21.348,F,gr,,2016,2020,3,4,2.7,1,0.3,0,0,0.667,0.8,0,,0.1,0.304
2,2009,NBA,1,3,OKC,James Harden\hardeja01,19.308,G,us,Arizona State,2010,2020,771,34.1,24.4,5.2,6.2,1.5,0.5,0.442,0.507,0.363,0.859,122.5,0.223
3,2011,NBA,1,15,IND,Kawhi Leonard\leonaka01,19.364,F,us,San Diego State,2012,2020,473,30.8,17.8,6.3,2.4,1.8,0.7,0.494,0.537,0.383,0.848,66.9,0.22
4,2013,NBA,1,27,DEN,Rudy Gobert\goberru01,21.006,C,fr,,2014,2020,413,28.8,11.1,10.6,1.3,0.7,2.2,0.628,0.629,0,0.631,53.6,0.216
5,2012,NBA,1,1,NOH,Anthony Davis\davisan02,19.114,F-C,us,Kentucky,2013,2020,472,34.6,23.8,10.5,2.1,1.4,2.4,0.516,0.533,0.311,0.797,73.2,0.215
6,2014,NBA,2,41,DEN,Nikola Jokić\jokicni01,19.132,C-F,rs,,2016,2020,314,28.4,16.2,9.6,5.2,1.1,0.7,0.523,0.571,0.344,0.828,39.6,0.213
7,2009,NBA,1,7,GSW,Stephen Curry\curryst01,21.108,G,us,Davidson,2010,2020,698,34.3,23.5,4.5,6.6,1.7,0.2,0.476,0.515,0.435,0.905,103.1,0.206
8,2014,NBA,1,25,HOU,Clint Capela\capelca01,20.044,C,ch,,2015,2020,301,25.1,12,9.1,0.9,0.7,1.4,0.635,0.635,0,0.524,31.7,0.202
9,2014,NBA,2,35,UTA,Jarnell Stokes\stokeja01,20.175,F-C,us,Tennessee,2015,2017,28,5.4,2.4,1.4,0.3,0.3,0.2,0.581,0.581,,0.531,0.6,0.202
10,2010,NBA,2,33,SAC,Hassan Whiteside\whiteha01,21.016,C,us,Marshall,2011,2020,348,26,13.4,11.4,0.6,0.6,2.3,0.575,0.577,0.222,0.596,37.3,0.198
11,2015,NBA,1,1,MIN,Karl-Anthony Towns\townska01,19.227,C-F,us,Kentucky,2016,2020,327,34.4,22.3,11.9,2.6,0.8,1.5,0.537,0.572,0.396,0.832,46.3,0.198
12,2015,NBA,2,32,HOU,Montrezl Harrell\harremo01,21.155,F-C,us,Louisville,2016,2020,262,19.4,11.4,4.5,1.3,0.5,0.8,0.633,0.641,0.156,0.63,20.3,0.191
13,2011,NBA,1,30,CHI,Jimmy Butler\butleji01,21.287,F-G,us,Marquette,2012,2020,526,32.9,16.7,4.9,3.5,1.6,0.5,0.453,0.486,0.34,0.834,66.6,0.184
14,2014,NBA,2,45,CHH,Dwight Powell\poweldw01,22.347,F-C,ca,Stanford,2015,2020,334,17.8,7.5,4.5,0.9,0.7,0.5,0.553,0.613,0.298,0.748,22.5,0.181
15,2015,NBA,2,48,OKC,Dakari Johnson\johnsda04,19.281,C,us,Kentucky,2018,2018,31,5.2,1.8,1.1,0.3,0.2,0.3,0.564,0.564,,0.55,0.6,0.178
16,2011,NBA,1,5,TOR,Jonas Valančiūnas\valanjo01,19.052,C,lt,,2013,2020,494,25.1,12.1,8.5,0.8,0.4,1,0.558,0.564,0.36,0.787,45.6,0.176
17,2016,NBA,1,9,TOR,Jakob Pöltl\poeltja01,20.257,C,at,Utah,2017,2020,219,16.1,5.4,4.6,0.8,0.4,0.9,0.64,0.64,0.5,0.563,12.7,0.173
18,2015,NBA,1,30,GSW,Kevon Looney\looneke01,19.144,F-C,us,UCLA,2016,2020,205,14,4.5,3.8,1,0.5,0.6,0.593,0.609,0.222,0.593,10.3,0.172
19,2009,NBA,1,1,LAC,Blake Griffin\griffbl01,20.106,F,us,Oklahoma,2011,2019,604,35,21.9,9,4.5,0.9,0.5,0.502,0.522,0.342,0.692,75.3,0.171
20,2012,NBA,1,6,POR,Damian Lillard\lillada01,21.354,G,us,Weber State,2013,2020,555,36.3,23.6,4.2,6.4,1,0.3,0.434,0.481,0.369,0.889,71.6,0.171
21,2013,NBA,1,15,MIL,Giannis Antetokounmpo\antetgi01,18.208,F-G,gr,,2014,2020,471,32.7,18.9,8.3,4.2,1.2,1.4,0.522,0.559,0.275,0.739,54.4,0.17
22,2014,NBA,1,3,PHI,Joel Embiid\embiijo01,20.107,C,cm,Kansas,2017,2020,161,30.6,24.2,11.4,3.2,0.7,2,0.481,0.526,0.316,0.789,17.3,0.169
23,2010,NBA,2,44,MIL,Jerome Jordan\jordaje01,23.274,C,jm,Tulsa,2012,2015,65,7.6,2.8,2,0.3,0.1,0.3,0.528,0.528,,0.852,1.7,0.168
24,2017,NBA,1,14,MIA,Bam Adebayo\adebaba01,19.344,C-F,us,Kentucky,2018,2020,157,22.1,8.2,6.6,2,0.7,0.7,0.551,0.563,0.154,0.722,12,0.166
25,2011,NBA,1,1,CLE,Kyrie Irving\irvinky01,19.096,G,au,Duke,2012,2020,514,33.8,22.3,3.7,5.7,1.3,0.4,0.465,0.498,0.39,0.875,59.6,0.165
